"segmento","codigo_bovespa","nome_acao","nome_tipo_acao","percentual_participacao_acao","percentual_participacao_acumulada","quantidade_teorica","ano","mes","dia","data_pregao"
"Consumo Cíclico / Comércio","LREN3","LOJAS RENNER","ON      NM","0.869","1.290","1030587204.00","2025","07","22","2025-07-22"
"Consumo Cíclico / Comércio","MGLU3","MAGAZ LUIZA","ON      NM","0.130","1.290","353448195.00","2025","07","22","2025-07-22"
"Consumo Cíclico / Comércio","PETZ3","PETZ","ON  ATZ NM","0.057","1.290","295519280.00","2025","07","22","2025-07-22"
"Consumo Cíclico / Tecid Vest Calç","VIVA3","VIVARA S.A.","ON      NM","0.153","0.153","123160591.00","2025","07","22","2025-07-22"
"Consumo Cíclico/Constr Civil","CYRE3","CYRELA REALT","ON      NM","0.327","0.645","257174951.00","2025","07","22","2025-07-22"
"Consumo Cíclico/Constr Civil","DIRR3","DIRECIONAL","ON      NM","0.211","0.645","108541907.00","2025","07","22","2025-07-22"
"Consumo Cíclico/Constr Civil","MRVE3","MRV","ON      NM","0.107","0.645","375507695.00","2025","07","22","2025-07-22"
"Consumo Cíclico/Viagens e Lazer","CVCB3","CVC BRASIL","ON      NM","0.050","0.391","450926127.00","2025","07","22","2025-07-22"
"Consumo Cíclico/Viagens e Lazer","SMFT3","SMART FIT","ON      NM","0.341","0.391","328547988.00","2025","07","22","2025-07-22"
"Diversos","COGN3","COGNA ON","ON      NM","0.234","2.144","1872454628.00","2025","07","22","2025-07-22"
"Diversos","RENT3","LOCALIZA","ON      NM","1.654","2.144","956264719.00","2025","07","22","2025-07-22"
"Diversos","VAMO3","VAMOS","ON      NM","0.090","2.144","485166826.00","2025","07","22","2025-07-22"
"Diversos","YDUQ3","YDUQS PART","ON      NM","0.166","2.144","260249057.00","2025","07","22","2025-07-22"
"Financ e Outros / Explor Imóveis","ALOS3","ALLOS","ON      NM","0.497","1.086","476976044.00","2025","07","22","2025-07-22"
"Financ e Outros / Explor Imóveis","IGTI11","IGUATEMI S.A","UNT     N1","0.204","1.086","198474750.00","2025","07","22","2025-07-22"
"Financ e Outros / Explor Imóveis","MULT3","MULTIPLAN","ON      N2","0.392","1.107","314311970.00","2025","07","18","2025-07-18"
"Financ e Outros / Holdings Divers","ITSA4","ITAUSA","PN      N1","2.983","2.983","5856697902.00","2025","07","18","2025-07-18"
"Financ e Outros / Interms Financs","BBDC3","BRADESCO","ON      N1","0.967","18.858","1469064981.00","2025","07","18","2025-07-18"
"Financ e Outros / Interms Financs","BBDC4","BRADESCO","PN      N1","3.915","18.858","5111682020.00","2025","07","18","2025-07-18"
"Financ e Outros / Interms Financs","BBAS3","BRASIL","ON      NM","2.817","18.858","2842613858.00","2025","07","18","2025-07-18"
"Financ e Outros / Interms Financs","BPAC11","BTGP BANCO","UNT     N2","2.566","18.858","1287247964.00","2025","07","18","2025-07-18"
"Financ e Outros / Interms Financs","ITUB4","ITAUUNIBANCO","PN      N1","8.120","18.858","4757320048.00","2025","07","18","2025-07-18"
"Financ e Outros / Interms Financs","SANB11","SANTANDER BR","UNT EJ","0.473","18.858","356586730.00","2025","07","18","2025-07-18"
"Financ e Outros / Previd  Seguros","BBSE3","BBSEGURIDADE","ON      NM","1.061","2.092","637332335.00","2025","07","18","2025-07-18"
"Financ e Outros / Previd  Seguros","CXSE3","CAIXA SEGURI","ON      NM","0.402","2.092","600000000.00","2025","07","18","2025-07-18"
"Financ e Outros / Previd  Seguros","IRBR3","IRBBRASIL RE","ON      NM","0.176","2.092","81838243.00","2025","07","18","2025-07-18"
"Financ e Outros / Previd  Seguros","PSSA3","PORTO SEGURO","ON      NM","0.453","2.092","182560698.00","2025","07","18","2025-07-18"
"Financeiro e Outros/Serviços Financeiros Diversos","B3SA3","B3","ON      NM","3.414","3.414","5200055464.00","2025","07","18","2025-07-18"
"Mats Básicos / Madeira e Papel","KLBN11","KLABIN S/A","UNT     N2","0.699","2.221","765785673.00","2025","07","18","2025-07-18"
"Mats Básicos / Madeira e Papel","SUZB3","SUZANO S.A.","ON  ATZ NM","1.522","2.221","630821784.00","2025","07","18","2025-07-18"
